,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
2862,2021/11/19,91319,TAPTAP,我的男子公寓,"剧情,恋爱,女性向,乙女,养成",nan,nan,https://www.taptap.com/app/91319,杭州哲信信息技术有限公司,8.0,0,45641,预约,￥6,
2863,2021/11/19,91209,TAPTAP,物理平衡球,物理,nan,nan,https://www.taptap.com/app/91209,Bruce Game,8.6,0,3319,预约,获取,
2864,2021/11/19,91203,TAPTAP,过关斩僵,"格斗,需家长陪同,ACG,动漫,末日,血腥,横版动作,动作",nan,nan,https://www.taptap.com/app/91203,Mango Games,6.7,0,1353,预约,预约,
2865,2021/11/19,91200,TAPTAP,除灵,"角色扮演,剧情,RPG",nan,武道战姬制作委员会,https://www.taptap.com/app/91200,nan,9.5,0,6011,预约,预约,
2866,2021/11/19,91196,TAPTAP,枪火狂徒,"赛博朋克,动作,射击",nan,nan,https://www.taptap.com/app/91196,润谦科技,8.4,0,45500,预约,预约,
2867,2021/11/19,91102,TAPTAP,小小战斗,休闲,猫YOU网络,猫YOU网络,https://www.taptap.com/app/91102,nan,0.0,0,147,预约,预约,
2868,2021/11/19,91101,TAPTAP,世界之战,"多人,多人对战,RTS,策略,即时战略",nan,nan,https://www.taptap.com/app/91101,上海邀玩网络技术有限公司,9.0,0,27513,预约,预约,
2869,2021/11/19,91081,TAPTAP,朝歌行,"回合制,角色扮演,二次元,MMORPG",Seed工作室,nan,https://www.taptap.com/app/91081,nan,9.0,0,24437,预约,预约,
2870,2021/11/19,90938,TAPTAP,疯狂射击,"对战,io",nan,nan,https://www.taptap.com/app/90938,不科学游戏工作室,9.6,0,603,预约,预约,
2871,2021/11/19,90785,TAPTAP,纸盒大乱斗,"动作,沙盒,射击",nan,nan,https://www.taptap.com/app/90785,网易游戏,8.7,0,7452,预约,预约,
2872,2021/11/19,88702,TAPTAP,Norse,"维京,角色扮演",nan,nan,https://www.taptap.com/app/88702,Northplay ApS,0.0,0,169,预约,预约,
2873,2021/11/19,88647,TAPTAP,创世神曲,"幻想,唯美,魔幻,角色扮演,MMO",nan,nan,https://www.taptap.com/app/88647,国科互娱,5.1,0,190,预约,敬请期待,
2874,2021/11/19,88578,TAPTAP,边缘：第二真相,"放置,冒险",候筠网络,麦兜小贱,https://www.taptap.com/app/88578,nan,8.8,0,5230,预约,预约,
2875,2021/11/19,88544,TAPTAP,奥比岛：梦想国度,"换装,经营,益智,社交,多人,应用,养成,情怀",nan,nan,https://www.taptap.com/app/88544,广州天梯网络科技有限公司,8.5,0,624899,预约,预约,4.0
2876,2021/11/19,88455,TAPTAP,夺宝联盟,"策略,塔防",nan,nan,https://www.taptap.com/app/88455,Teebik-inc,6.4,0,941,预约,￥1,
2877,2021/11/19,88451,TAPTAP,堕落之魂,"多人,暗黑,多人在线,角色扮演,RPG",nan,nan,https://www.taptap.com/app/88451,TBG Limited,8.6,0,749,预约,预约,
2878,2021/11/19,88448,TAPTAP,光之守望,"卡牌,MMO,多人,策略",nan,nan,https://www.taptap.com/app/88448,吉游社,8.2,0,9362,预约,预约,3.5
2879,2021/11/19,88436,TAPTAP,勇者食堂,"像素,放置,经营,挂机",nan,nan,https://www.taptap.com/app/88436,炒鸡牛工作室,8.9,0,11019,预约,预约,
2880,2021/11/19,88368,TAPTAP,阿尔卡纳战记,"幻想,养成,魔幻,日系,角色扮演",nan,丛云（北京）科技有限公司,https://www.taptap.com/app/88368,nan,5.2,0,505,预约,预约,
2881,2021/11/19,88358,TAPTAP,全职法师：觉醒,"二次元,角色扮演",nan,YE YANG,https://www.taptap.com/app/88358,nan,8.6,0,85427,预约,预约,
2882,2021/11/19,87557,TAPTAP,偶像不是人,"养成,唯美,幻想,角色扮演",上海游唐网络技术有限公司,nan,https://www.taptap.com/app/87557,nan,7.4,0,3014,预约,预约,
2883,2021/11/19,87554,TAPTAP,寻龙记,"MMORPG,东方幻想,角色扮演,MMO",nan,nan,https://www.taptap.com/app/87554,寻龙工作室,6.1,0,17402,预约,敬请期待,
2884,2021/11/19,87448,TAPTAP,暗影之刃：再度出击,"横版,横版动作,动作",nan,nan,https://www.taptap.com/app/87448,Leadjoy,9.0,0,9199,预约,敬请期待,
2885,2021/11/19,87433,TAPTAP,穿越雷区,"Roguelike,扫雷",nan,nan,https://www.taptap.com/app/87433,龙龙猫,8.8,0,11401,预约,预约,
2886,2021/11/19,87429,TAPTAP,斗球学园,"足球,体育,竞技,MOBA",库仑力工作室,nan,https://www.taptap.com/app/87429,nan,7.0,0,1928,预约,预约,
2887,2021/11/19,87428,TAPTAP,流浪的橘猫侠,"剧情,解谜",成都品游科技有限公司,nan,https://www.taptap.com/app/87428,nan,7.8,0,19625,预约,预约,
2888,2021/11/19,86070,TAPTAP,Eastward 风来之国,"冒险,像素,动作,角色扮演",皮克皮工作室,心动,https://www.taptap.com/app/86070,nan,8.8,0,134668,预约,预约,
2889,2021/11/19,85955,TAPTAP,上天喵,像素,nan,nan,https://www.taptap.com/app/85955,渡劫工作室,9.3,0,1443,预约,敬请期待,
2890,2021/11/19,85901,TAPTAP,整蛊先锋,"策略,联机",4 fool studio,深圳新游畅玩科技有限公司,https://www.taptap.com/app/85901,nan,9.4,0,1370,预约,￥1,
2891,2021/11/19,85850,TAPTAP,晓之破坏者,"动作,日系,角色扮演",nan,nan,https://www.taptap.com/app/85850,"CyberStep, Inc.",9.7,0,2808,预约,预约,
2892,2021/11/19,85844,TAPTAP,王牌捉妖师,"休闲,AR",nan,nan,https://www.taptap.com/app/85844,新闻消息,5.9,0,5221,预约,预约,
2893,2021/11/19,85763,TAPTAP,猎鹰战记,"角色扮演,RPG,策略,回合制,战棋",nan,nan,https://www.taptap.com/app/85763,Bihive联蜂,9.0,0,1872,预约,预约,
2894,2021/11/19,85759,TAPTAP,忍者神降,休闲,nan,nan,https://www.taptap.com/app/85759,0Hen灵痕紫海游戏工作组,9.0,0,835,预约,获取,
2895,2021/11/19,85679,TAPTAP,迷之大陆,"养成,经营,放置",小宝拳游戏,nan,https://www.taptap.com/app/85679,nan,9.5,0,16017,预约,预约,
2896,2021/11/19,85495,TAPTAP,僵尸岛求生,"生存,求生,僵尸",nan,nan,https://www.taptap.com/app/85495,xmadao,7.7,0,4136,预约,敬请期待,
2897,2021/11/19,85456,TAPTAP,子弹军团,"多人,射击,CS,联机",废土工作室,nan,https://www.taptap.com/app/85456,nan,7.7,0,4152,预约,预约,
2898,2021/11/19,85254,TAPTAP,喵星人大战咸鱼,"Roguelike,像素,射击,横版,像素游戏,横版射击",nan,nan,https://www.taptap.com/app/85254,超级雪人,8.7,0,6566,预约,获取,
2899,2021/11/19,85202,TAPTAP,左右滑滑,"策略,Roguelike,卡牌,烧脑,益智,即时战略,回合制,探索,闯关",匀腾游戏,HODOGAME,https://www.taptap.com/app/85202,nan,9.2,0,18432,预约,获取,
2900,2021/11/19,85170,TAPTAP,奇妙拼图,"拼图,创意,唯美,益智",nan,nan,https://www.taptap.com/app/85170,BinShao,9.4,0,119815,预约,获取,
2901,2021/11/19,85163,TAPTAP,King of Peasants,"手绘,冒险",nan,nan,https://www.taptap.com/app/85163,Platonic Partnership,0.0,0,154,预约,预约,
2902,2021/11/19,85121,TAPTAP,重返人类,"独立游戏,治愈,冒险",麦兜工作室,nan,https://www.taptap.com/app/85121,nan,9.7,0,13804,预约,预约,
2903,2021/11/19,85116,TAPTAP,刀锋之怒,"幻想,魔幻,动作,ARPG",nan,nan,https://www.taptap.com/app/85116,盛趣游戏,7.9,0,7233,预约,预约,
2904,2021/11/19,85059,TAPTAP,寻境－SEEK,休闲,J2GE,nan,https://www.taptap.com/app/85059,nan,8.6,0,2237,预约,敬请期待,
2905,2021/11/19,84911,TAPTAP,勇者日记,"高自由度,RPG,冒险",南京初心网络,3K独游屋,https://www.taptap.com/app/84911,nan,9.8,0,9367,预约,预约,
2906,2021/11/19,84819,TAPTAP,Survive Another Day,"末日,僵尸,生存,联机",ChangitGame,nan,https://www.taptap.com/app/84819,nan,8.8,0,27087,预约,预约,
2907,2021/11/19,84739,TAPTAP,城堡传说2外传：魔王觉醒,"联网,角色扮演",nan,nan,https://www.taptap.com/app/84739,上海赤森网络科技有限公司,8.3,0,1589,预约,￥1,
2908,2021/11/19,84678,TAPTAP,圣殿春秋,"剧情,放置,移植,PC移植,小说,点击,冒险,角色扮演",Daedalic Entertainment GmbH,nan,https://www.taptap.com/app/84678,nan,9.2,0,6566,预约,￥6,
2909,2021/11/19,84677,TAPTAP,旗鼓鬼畜的对手,"音乐,恶搞,节奏",nan,nan,https://www.taptap.com/app/84677,胖怪兽工作室,9.8,0,1138,预约,预约,
2910,2021/11/19,84573,TAPTAP,王牌出击,"射击,竞技",nan,nan,https://www.taptap.com/app/84573,深圳市芷艺网络科技有限公司,9.4,0,1511,预约,预约,
2911,2021/11/19,84470,TAPTAP,Mean Streets,"体育,自由搏击,格斗,动作",nan,nan,https://www.taptap.com/app/84470,Craft Shop Arts,9.6,0,4716,预约,预约,
2912,2021/11/19,84462,TAPTAP,诛仙之白夜妖形,"策略,经典,战略,角色扮演",nan,nan,https://www.taptap.com/app/84462,新闻消息,0.0,0,453,预约,预约,
2913,2021/11/19,84453,TAPTAP,射雕三部曲,"策略,经典,对战,战略,卡牌,动作",nan,nan,https://www.taptap.com/app/84453,新闻消息,0.0,0,427,预约,预约,
2914,2021/11/19,84448,TAPTAP,Castle of legends,策略,nan,nan,https://www.taptap.com/app/84448,聚变工作室,8.9,0,1005,预约,预约,
2915,2021/11/19,84403,TAPTAP,涂鸦上帝：起源,策略,nan,nan,https://www.taptap.com/app/84403,苏州齐思妙想信息科技有限公司,9.5,0,20170,预约,获取,
2916,2021/11/19,84377,TAPTAP,梦魇,"ARPG,克苏鲁,动作",nan,nan,https://www.taptap.com/app/84377,新闻消息,9.5,0,5211,预约,预约,
2917,2021/11/19,84376,TAPTAP,奥域王国崛起,"战略,社交,策略",nan,nan,https://www.taptap.com/app/84376,新闻消息,0.0,0,293,预约,预约,
2918,2021/11/19,84374,TAPTAP,电竞传说,"经营,竞技",nan,nan,https://www.taptap.com/app/84374,nan,8.9,0,22618,预约,预约,
2919,2021/11/19,84368,TAPTAP,怪兽宝贝,"收集,休闲,经营",nan,nan,https://www.taptap.com/app/84368,深圳市华动飞天网络技术开发有限公司,8.4,0,1706,预约,预约,
2920,2021/11/19,84363,TAPTAP,独孤求败,"武侠,策略,经营,沙盒,Roguelike,冒险",网成科技,nan,https://www.taptap.com/app/84363,nan,6.3,0,32881,预约,预约,
2921,2021/11/19,84251,TAPTAP,国王联赛,"策略,双人,竞技",楚游网络,nan,https://www.taptap.com/app/84251,麦兜小贱,9.4,0,708,预约,预约,
2922,2021/11/19,84228,TAPTAP,我的梦境城堡,"DIY,经营,建造,穿越,创意,创造,沙盒",KYLIN,nan,https://www.taptap.com/app/84228,麦兜小贱,9.8,0,2757,预约,预约,
2923,2021/11/19,84028,TAPTAP,密室逃脱绝境系列6重重困境,"需家长陪同,恐怖,脱出,益智,密室逃脱,解谜",nan,深圳市火星人互动娱乐有限公司,https://www.taptap.com/app/84028,nan,9.0,0,59750,预约,预约,
2924,2021/11/19,84027,TAPTAP,密室逃脱绝境系列5萝莉校园,"解谜,密室逃脱,校园",nan,深圳市火星人互动娱乐有限公司,https://www.taptap.com/app/84027,nan,7.0,0,57772,预约,预约,
2925,2021/11/19,83889,TAPTAP,暗黑战域,"幻想,音乐,节奏,魔幻,暗黑,角色扮演,RPG",创想世界,深圳市壁虎互动科技有限公司,https://www.taptap.com/app/83889,nan,6.3,0,950,预约,获取,
2926,2021/11/19,83780,TAPTAP,吊打小怪兽,"放置,挂机,冒险,经营,动作,养成,萌系",nan,nan,https://www.taptap.com/app/83780,浩动游戏,5.7,0,1157,预约,敬请期待,
2927,2021/11/19,83766,TAPTAP,简单修仙,"RPG,修仙,放置,角色扮演,二次元",nan,nan,https://www.taptap.com/app/83766,杭州幻游网络技术有限公司,7.3,0,6959,预约,预约,
2928,2021/11/19,83682,TAPTAP,报告船长,"对战,海战",Eblard,霍尔果斯酷玩,https://www.taptap.com/app/83682,nan,8.3,0,7899,预约,预约,
2929,2021/11/19,83603,TAPTAP,重明鸟,"横版,解谜,冒险",星磐科技,哔哩哔哩游戏,https://www.taptap.com/app/83603,nan,8.3,0,12521,预约,预约,
2930,2021/11/19,83592,TAPTAP,掠夺之剑：遗产,"角色扮演,冒险,动作",nan,nan,https://www.taptap.com/app/83592,Crescent Moon Games,9.7,0,10206,预约,预约,
2931,2021/11/19,83587,TAPTAP,攻城战指挥官,"经营,建造,策略,PC移植,移植,动作",nan,nan,https://www.taptap.com/app/83587,Blowfish Studios,8.9,0,7645,预约,预约,
2932,2021/11/19,83585,TAPTAP,Pocket Quest,卡牌,nan,nan,https://www.taptap.com/app/83585,Firi Games,0.0,0,772,预约,预约,
2933,2021/11/19,83583,TAPTAP,万物皆可高尔夫,"PC移植,休闲,体育,移植,独立游戏,动作,高尔夫",nan,nan,https://www.taptap.com/app/83583,Triband,9.5,0,11385,预约,获取,
2934,2021/11/19,83571,TAPTAP,Pocket Cowboys,"回合制,策略",nan,nan,https://www.taptap.com/app/83571,Foxglove Studios AB,0.0,0,121,预约,预约,
2935,2021/11/19,83567,TAPTAP,梦魇求生,"角色扮演,RPG",nan,nan,https://www.taptap.com/app/83567,知更鸟游戏,8.5,0,999,预约,预约,
2936,2021/11/19,83493,TAPTAP,灵魂之火,"动作,多人,多人联机",nan,nan,https://www.taptap.com/app/83493,予幻网络,8.5,0,37535,预约,预约,
2937,2021/11/19,83182,TAPTAP,造物梦工厂,"经营,DIY,可爱,休闲",玉米游戏工作室,冰狮游戏,https://www.taptap.com/app/83182,nan,9.2,0,113071,预约,预约,
2938,2021/11/19,83071,TAPTAP,奥德玛,"横版,横版闯关,冒险,物理,唯美,手绘",nan,nan,https://www.taptap.com/app/83071,ZPLAY,9.3,0,51722,预约,预约,
2939,2021/11/19,83061,TAPTAP,名将三国,"角色扮演,3D,动作,RPG,策略",nan,nan,https://www.taptap.com/app/83061,英杰讯,0.0,0,660,预约,预约,
2940,2021/11/19,82976,TAPTAP,疯狂之冠,"Roguelike,冒险,卡牌",nan,nan,https://www.taptap.com/app/82976,灵游坊,9.0,0,10180,预约,预约,
2941,2021/11/19,82952,TAPTAP,天命少女,"美少女,角色扮演,ACG,二次元,RPG",nan,nan,https://www.taptap.com/app/82952,游戏墓地,9.0,0,8248,预约,预约,
