,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
2586,2021/11/19,176737,TAPTAP,洛瑟兰战境,"动作,射击,二次元",漩涡科技,nan,https://www.taptap.com/app/176737,nan,9.2,0,11578,预约,预约,
2587,2021/11/19,176733,TAPTAP,悠久之树,"RPG,养成,日系,二次元,角色扮演",光焰网络,哔哩哔哩游戏,https://www.taptap.com/app/176733,nan,7.5,0,77839,预约,预约,3.1
2588,2021/11/19,176722,TAPTAP,节奏快闪,"节奏,音乐",nan,nan,https://www.taptap.com/app/176722,蓄电游戏,8.0,0,4339,预约,预约,
2589,2021/11/19,176707,TAPTAP,土豆们的奥德赛,"冒险,动作,Roguelike",Daylight Studios,nan,https://www.taptap.com/app/176707,nan,9.0,0,8055,预约,预约,
2590,2021/11/19,176669,TAPTAP,霸天纪,"战争,国风,手绘,策略",卓游网络,nan,https://www.taptap.com/app/176669,nan,0.0,0,40,预约,预约,
2591,2021/11/19,176666,TAPTAP,冒险与战争,"横版,策略,动作",原子恐龙,nan,https://www.taptap.com/app/176666,nan,8.2,0,7290,预约,预约,
2592,2021/11/19,176661,TAPTAP,疯狂炮炮兵,"DIY,竞技,创造,沙盒,角色扮演",nan,懒猫游戏,https://www.taptap.com/app/176661,nan,6.8,0,416,预约,预约,
2593,2021/11/19,176633,TAPTAP,全民小画家,"竞技,休闲",jiao,nan,https://www.taptap.com/app/176633,nan,9.7,0,1294,预约,预约,
2594,2021/11/19,176587,TAPTAP,龙主霸天,"经营,策略,中文,战略,建造,角色扮演",Pocket Gems,腾讯,https://www.taptap.com/app/176587,nan,5.7,0,2463,预约,预约,
2595,2021/11/19,176529,TAPTAP,小章迷走空间,"冒险,益智,解谜",Hexagoon,Daylight Studios,https://www.taptap.com/app/176529,nan,8.1,0,1177,预约,获取,
2596,2021/11/19,176527,TAPTAP,二哈竟敢这样养,益智,乐信游戏,nan,https://www.taptap.com/app/176527,nan,0.0,0,165,预约,预约,
2597,2021/11/19,176501,TAPTAP,鸿蒙传说,"养成,策略",nan,nan,https://www.taptap.com/app/176501,Xin Peng,7.5,0,527,预约,获取,
2598,2021/11/19,176478,TAPTAP,败家老婆拯救计划,"休闲,脑洞,益智",成都品游科技有限公司,nan,https://www.taptap.com/app/176478,nan,7.2,0,2552,预约,预约,
2599,2021/11/19,176420,TAPTAP,天天合数字,"合成,消除,益智",WAKEAPP,北京乐蜜科技有限责任公司,https://www.taptap.com/app/176420,nan,9.9,0,739,预约,预约,
2600,2021/11/19,176408,TAPTAP,深渊,"躲避,冒险,休闲",咕咕咕工作室,腾讯NEXT IDEA高校游戏创意制作大赛,https://www.taptap.com/app/176408,nan,9.9,0,1963,预约,预约,
